Name;Notiz;ISIN;Symbol;WKN;Letzter;Δ %;Δ Betrag;Letzter (Datum);Letzter historischer (Datum);Erster historischer (Datum)
Amundi Lev 2x MSCI USA Daily Acc ETF;;FR0010755611;18MF.DE;;24,015;-1,01%;-0,24;2025-12-17;2025-12-17;2010-03-04
Apple Inc.;;US0378331005;APC.DE;;232,15;-0,02%;-0,05;2025-12-17;2025-12-17;2000-01-03
Berkshire Hathaway B (BRK-B);;US0846707026;BRK-B;;USD 504,27;0,89%;4,43;2025-12-17;2025-12-17;1996-05-09
Infineon Technologies AG;;DE0006231004;IFX.DE;;35,095;-2,51%;-0,91;2025-12-17;2025-12-17;2000-03-13
Vanguard FTSE All-World Acc ETF;;IE00BK5BQT80;VWCE.DE;;141,80;-0,45%;-0,64;2025-12-17;2025-12-17;2019-07-29
Vanguard FTSE All-World Dist ETF;;IE00B3RBWM25;VGWL.DE;;138,98;-0,40%;-0,56;2025-12-17;2025-12-17;2017-10-26
